,Feature_1,Feature_2,Feature_Pair,Value,Metric
1347,$(\frac{S_{1619}}{I_{1720}})_{n}$,$(ln|I_{1720}|)_{n}$,[$(\frac{S_{1619}}{I_{1720}})_{n}$; $(ln|I_{1720}|)_{n}$],1.0000000000000002,V_measure
242,"$S_{1619, n}$",$(\frac{ΣI}{I_{1720}})_{n}$,"[$S_{1619, n}$; $(\frac{ΣI}{I_{1720}})_{n}$]",1.0,V_measure
966,$(\frac{ΣS}{I_{1720}})_{n}$,$(\frac{S_{1619}}{I_{1720}})_{n}$,[$(\frac{ΣS}{I_{1720}})_{n}$; $(\frac{S_{1619}}{I_{1720}})_{n}$],1.0,V_measure
1295,$(\frac{S_{1619}}{I_{1720}})_{n}$,$(ΣI^{-4})_{n}$,[$(\frac{S_{1619}}{I_{1720}})_{n}$; $(ΣI^{-4})_{n}$],1.0,V_measure
1325,$(\frac{S_{1619}}{I_{1720}})_{n}$,$(I_{1720}^{-1})_{n}$,[$(\frac{S_{1619}}{I_{1720}})_{n}$; $(I_{1720}^{-1})_{n}$],1.0,V_measure
616,$(\frac{ΣI}{S_{1619}})_{n}$,$(\frac{ΣS}{I_{1720}})_{n}$,[$(\frac{ΣI}{S_{1619}})_{n}$; $(\frac{ΣS}{I_{1720}})_{n}$],0.9129615379636241,V_measure
618,$(\frac{ΣI}{S_{1619}})_{n}$,$(\frac{I_{1619}}{S_{1619}})_{n}$,[$(\frac{ΣI}{S_{1619}})_{n}$; $(\frac{I_{1619}}{S_{1619}})_{n}$],0.9129615379636241,V_measure
619,$(\frac{ΣI}{S_{1619}})_{n}$,$(\frac{I_{1619}}{I_{1720}})_{n}$,[$(\frac{ΣI}{S_{1619}})_{n}$; $(\frac{I_{1619}}{I_{1720}})_{n}$],0.9129615379636241,V_measure
1161,$(\frac{I_{1619}}{I_{1720}})_{n}$,$(\frac{S_{1619}}{I_{1720}})_{n}$,[$(\frac{I_{1619}}{I_{1720}})_{n}$; $(\frac{S_{1619}}{I_{1720}})_{n}$],0.8915222240361891,V_measure
313,"$S_{1619, n}$",$(ln|S_{1720}|)_{n}$,"[$S_{1619, n}$; $(ln|S_{1720}|)_{n}$]",0.8902345592361267,V_measure
