,$(ΣI)_{n}$,$(ΣS)_{n}$,"$I_{1619, n}$","$S_{1619, n}$","$I_{1720, n}$","$S_{1720, n}$",$(\frac{ΣI}{ΣS})_{n}$,$(\frac{ΣI}{I_{1619}})_{n}$,$(\frac{ΣI}{S_{1619}})_{n}$,$(\frac{ΣI}{I_{1720}})_{n}$,$(\frac{ΣI}{S_{1720}})_{n}$,$(\frac{ΣS}{I_{1619}})_{n}$,$(\frac{ΣS}{S_{1619}})_{n}$,$(\frac{ΣS}{I_{1720}})_{n}$,$(\frac{ΣS}{S_{1720}})_{n}$,$(\frac{I_{1619}}{S_{1619}})_{n}$,$(\frac{I_{1619}}{I_{1720}})_{n}$,$(\frac{I_{1619}}{S_{1720}})_{n}$,$(\frac{S_{1619}}{I_{1720}})_{n}$,$(\frac{S_{1619}}{S_{1720}})_{n}$,$(\frac{I_{1720}}{S_{1720}})_{n}$,$(ΣI^{-1})_{n}$,$(ΣI^2)_{n}$,$(ΣI^{-2})_{n}$,$(ΣI^3)_{n}$,$(ΣI^{-3})_{n}$,$(ΣI^4)_{n}$,$(ΣI^{-4})_{n}$,$(ΣI^5)_{n}$,$(ΣI^{-5})_{n}$,$(ΣS^{-1})_{n}$,$(ΣS^2)_{n}$,$(ΣS^{-2})_{n}$,$(ΣS^3)_{n}$,$(ΣS^{-3})_{n}$,$(ΣS^4)_{n}$,$(ΣS^{-4})_{n}$,$(ΣS^5)_{n}$,$(ΣS^{-5})_{n}$,$(I_{1619}^{-1})_{n}$,$(I_{1619}^2)_{n}$,$(I_{1619}^{-2})_{n}$,$(I_{1619}^3)_{n}$,$(I_{1619}^{-3})_{n}$,$(I_{1619}^4)_{n}$,$(I_{1619}^{-4})_{n}$,$(I_{1619}^5)_{n}$,$(I_{1619}^{-5})_{n}$,$(S_{1619}^{-1})_{n}$,$(S_{1619}^2)_{n}$,$(S_{1619}^{-2})_{n}$,$(S_{1619}^3)_{n}$,$(S_{1619}^{-3})_{n}$,$(S_{1619}^4)_{n}$,$(S_{1619}^{-4})_{n}$,$(S_{1619}^5)_{n}$,$(S_{1619}^{-5})_{n}$,$(I_{1720}^{-1})_{n}$,$(I_{1720}^2)_{n}$,$(I_{1720}^{-2})_{n}$,$(I_{1720}^3)_{n}$,$(I_{1720}^{-3})_{n}$,$(I_{1720}^4)_{n}$,$(I_{1720}^{-4})_{n}$,$(I_{1720}^5)_{n}$,$(I_{1720}^{-5})_{n}$,$(S_{1720}^{-1})_{n}$,$(S_{1720}^2)_{n}$,$(S_{1720}^{-2})_{n}$,$(S_{1720}^3)_{n}$,$(S_{1720}^{-3})_{n}$,$(S_{1720}^4)_{n}$,$(S_{1720}^{-4})_{n}$,$(S_{1720}^5)_{n}$,$(S_{1720}^{-5})_{n}$,$(ln|ΣI|)_{n}$,$(ln|ΣS|)_{n}$,$(ln|I_{1619}|)_{n}$,$(ln|S_{1619}|)_{n}$,$(ln|I_{1720}|)_{n}$,$(ln|S_{1720}|)_{n}$
1,2.9151,120.87183928492826,0.6190699640553865,3.7209432705488545,0.6640077790810555,30.809157885101307,0.02411728006494801,4.708837723128809,0.7834303798912824,4.390159410533282,0.0946179707628323,195.2474620043336,32.484192984511466,182.03376992391142,3.9232438528733518,0.1663744698703969,0.9323233605969797,0.020093699618929095,5.603764575918679,0.12077393625705779,0.021552285900101033,0.3430414050975953,8.497808009999998,0.11767740561133248,24.771960129950994,0.04036822256915114,72.21274097482014,0.013847971791414067,210.50736121569818,0.004750427701078545,0.00827322564061199,14610.001532121525,6.844626250047966e-05,1765937.7571431487,5.662713739230273e-07,213452144.76859334,4.6848908502845685e-09,25800353337.492653,3.875915910604279e-11,1.615326308918668,0.38324762039553756,2.6092790842848084,0.23725709058257782,4.214837152156462,0.14687873853884204,6.808337339686168,0.09092821538774146,10.997686424788402,0.2687490583140484,13.845418822642806,0.07222605634468778,51.51801799604319,0.019410684628372237,191.69562237439172,0.005216603215106013,713.2885360676672,0.0014019572016577783,1.5060064527917676,0.4409063306801558,2.2680554358504423,0.29276523341770766,3.4157061216802114,0.19439839243383886,5.144075460090741,0.1290820448169208,7.747010836544437,0.03245788163796518,949.2042095891001,0.0010535140804241575,29244.182358433376,3.4194835326337037e-05,900988.6315016681,1.1098919176519583e-06,27758701.000616256,3.602474049408146e-08,1.0699041245313659,4.794730804806371,-0.47953698513154513,1.3139772034941304,-0.40946141409081166,3.427811979716416
2,3.9398,91.03846159426988,0.670413291048886,12.073326361198859,0.4818096469437612,0.9729295320612863,0.043276214591130326,5.8766734678485255,0.32632266221690914,8.177088244270603,4.049419685774145,135.7945357136892,7.540462244675868,188.95109753768847,93.57148549226608,0.055528465891840205,1.3914484595762762,0.6890666476415023,25.05829104457119,12.409250581200718,0.49521535842681286,0.2538199908624803,15.52202404,0.0644245877614296,61.153670312792,0.01635224827692512,240.93323029833792,0.004150527508230145,949.2287407293917,0.0010534868542134484,0.010984368392083438,8288.001489451352,0.00012065634897300169,754526.9052906684,1.3253337859632288e-06,68690968.68914782,1.4557954547494766e-08,6253520114.8801775,1.5990993578488885e-10,1.4916172059110933,0.4494539808149984,2.2249218889700173,0.30131992245320594,3.318731771395889,0.2020088808704489,4.950277412017909,0.13542943864546,7.383918961798952,0.08282721514211613,145.76520942401928,0.006860347568198392,1759.8709454846844,0.0005682234839808614,21247.4962784282,4.706436875648559e-05,256527.95692782183,3.898210596521321e-06,2.07550846344246,0.23214053588807182,4.307735381821281,0.11184754963756742,8.940741243240607,0.053889228402401165,18.55658411979494,0.025964350110632615,38.514347393216354,1.0278236676415415,0.9465918743569935,1.05642149176411,0.9209671893711656,1.085815012240336,0.8960361765986862,1.1160263682611073,0.8717800580081438,1.147078315010801,1.3711299606001182,4.511282072105521,-0.39986090446053973,2.4909985863048423,-0.7302061662874941,-0.027443622788526342
3,2.8628,85.81163478327917,0.3805859291229624,8.608845715593649,0.3551015188676229,4.681582091086595,0.03336144343631396,7.522085765485739,0.33254167801084666,8.06191989583467,0.611502680995506,225.47243136662192,9.967844426325833,241.65380947094343,18.329623002159575,0.0442087059864004,1.071766548159541,0.08129429789292202,24.24333678731155,1.8388753092644237,0.07585075129702658,0.3493083694285315,8.19562384,0.12201633695281944,23.462431929152,0.04262132770463163,67.16825012677634,0.014887986483383972,192.28926646293533,0.005200498282584872,0.011653431408521016,7363.636664178888,0.0001358024635931041,631885.7001032829,1.5825646945904111e-06,54223144.92203958,1.8442309117956365e-08,4652976708.85088,2.149161843208462e-10,2.6275275134433906,0.14484564944638856,6.903900833902008,0.055126216073972695,18.140189391162295,0.020980262163546082,47.663846724352844,0.00798479256875652,125.23806866478574,0.1161595913129966,74.11222455489512,0.013493050654002395,638.0207068325233,0.0015673472495344796,5492.621828475199,0.00018206241595147444,47285.13389544488,2.1148295830380064e-05,2.8160960932774453,0.12609708870209277,7.930397206572491,0.044777267722898514,22.33276059156716,0.01590047577914345,62.89119985401277,0.005646283099891689,177.1076622104164,0.21360300439971566,21.917210875582732,0.045626243488584954,102.60722192169648,0.009745902688634709,480.3641325647621,0.0020817540948796405,2248.8641202155372,0.000444668929087702,1.0518001668823054,4.452154600835311,-0.9660432950532091,2.15279024622282,-1.0353515617467681,1.543636106453276
6,2.2858,58.50224572974584,0.7639882267769358,6.573314327852671,0.1354544687783181,0.618273440522505,0.039072004356198085,2.991930922343117,0.34773934213286145,16.875043109436955,3.697069694710261,76.57480008108415,8.89996169540503,431.89601832545935,94.62196157141311,0.11622572551258334,5.640184732681376,1.2356801646392683,48.52785136687087,10.63172683319138,0.21908505185641658,0.4374835943652113,5.22488164,0.19139189533870474,11.943034452712,0.08373081430514688,27.299388152009094,0.03663085760134171,62.400941437862386,0.01602539924811519,0.01709336090480273,3422.512755423565,0.00029218298702183844,200224.6822309789,4.994389247407577e-06,11713593.561037004,8.53708979050038e-08,685271528.8861554,1.4592755686572973e-09,1.3089206939990887,0.5836780106537667,1.713273383179056,0.44592312836806064,2.242538985720897,0.34068002012073856,2.935305685509809,0.26027552447037383,3.84208235497697,0.15213025729847818,43.20846125275321,0.023143615185701173,284.0227974371897,0.0035208441330176862,1866.9711238306759,0.0005356269238638179,12272.188037963384,8.148506174339501e-05,7.3825545145843705,0.01834791311201635,54.502111160810074,0.0024853068237789123,402.3648068046177,0.0003366459155661016,2970.4801209852985,4.560019365939682e-05,21929.731427663144,1.6174073386605392,0.38226204725553553,2.6160064991529683,0.23634247113785634,4.2311481097136765,0.14612427277199327,6.843490003610569,0.09034475687058928,11.068710953889775,0.8267160724813606,4.069065142043653,-0.2692028999121842,1.8830181692018964,-1.999119718907271,-0.48082445898877874
8,2.253,66.49973745518405,0.2824845920037856,5.381588472180885,0.3059948359785742,7.320098685751388,0.033879833007135665,7.9756562438272995,0.4186496257836254,7.362869352990504,0.30778273582369553,235.41014036720586,12.356897558953458,217.32307096790473,9.084541112079014,0.05249093152775186,0.9231678407264534,0.03859027099643389,17.58718723134826,0.7351797705481999,0.041802009660634055,0.44385264092321347,5.076009000000001,0.19700516685451108,11.436248277000002,0.08744126358389306,25.765867368081004,0.03881103576737375,58.05049918028651,0.017226380722314135,0.01503765335425462,4422.215081608408,0.00022613101840272525,294076.1418973144,3.4004798673847544e-06,19555986.228004858,5.113523748385366e-08,1300467949.839518,7.689539754696786e-10,3.540016086918464,0.07979754471954523,12.531713895641515,0.022541576863004568,44.36246878723062,0.0063676481432678195,157.04385316221462,0.001798762487774673,555.9377665459009,0.1858187420255772,28.961494483910194,0.034528604887968,155.8588448517414,0.00641606192418041,838.7681627415607,0.001192224555509408,4513.905075442323,0.00022153766711676111,3.2680290070974274,0.09363283964555452,10.680013591230198,0.028651165409549595,34.90259421233505,0.008767108660090126,114.06269030886176,0.0026826899764506155,372.76018055693083,0.136610180125919,53.5838447691392,0.018662341314036032,392.2390316720822,0.002549465808481842,2871.228420243206,0.0003482829833215762,21017.675385514325,4.757900108635296e-05,0.8122626614501074,4.19719799961167,-1.2641312714626074,1.682983585646707,-1.184187053059168,1.9906238095423692
9,2.0964,50.70963225519364,0.2325724053007168,3.691408616378599,0.2809619926124654,7.176670422977244,0.04134125819430072,9.013967058083907,0.5679132867324349,7.461507446281506,0.29211317734308156,218.0380436347379,13.737203741194483,180.48573682041794,7.06589954205487,0.0630037011532141,0.8277717677689843,0.032406727854758316,13.138462544541417,0.5143622876368923,0.03914935144756281,0.4770082045411181,4.39489296,0.22753682719954116,9.213453601344,0.10853693340943578,19.315084129857564,0.05177300773203385,40.492142369833395,0.024696149461950895,0.019720119344734173,2571.466803456975,0.0003888831069705589,130398.13595974151,7.668821280610446e-06,6612441.521281234,1.5123007088707513e-07,335314477.8531445,2.9822750464057305e-09,4.299736242169389,0.05408992370736088,18.487731752224935,0.012579823659153186,79.49237025054732,0.002925719846668121,341.796225342226,0.0006804417019756492,1469.6336175406645,0.27089929723928396,13.626497573074161,0.07338642924473793,50.30097055230802,0.01988033210929994,185.68143610899602,0.005385567997292925,685.4260531543002,0.0014589465857010315,3.5592002701209244,0.07893964129276707,12.66790656282886,0.02217903891372909,45.08761646028711,0.006231466967430735,160.4758566845625,0.0017508053760680964,571.1657124595816,0.13934038224722456,51.504598360036375,0.019415742124802654,369.6315276977953,0.002705396929283542,2652.7236522286616,0.00037697104225683636,19037.723375281606,5.252728912420222e-05,0.7402215879458741,3.9261158778617533,-1.4585536817878266,1.3060081240646852,-1.269535876403411,1.9708355461140505
10,2.1063,129.5439509395422,0.9166609833772336,9.351420345453818,0.1896520128705446,0.1030067474655354,0.01625934661343627,2.2977960644073736,0.22523851160470776,11.106130476124969,20.4481750159594,141.32154993906943,13.852863645736967,683.0613025339636,1257.625875264975,0.09802371720172617,4.8333838882213245,8.899038227412582,49.308310541565646,90.78454155231599,1.841161065045758,0.4747661776575037,4.436499690000001,0.22540292344751633,9.344599297047,0.10701368439800424,19.682529499370098,0.050806477898686905,41.45731188452324,0.024121197312200023,0.007719387842869615,16781.63522502652,5.958894866864321e-05,2173959.330276129,4.599902059221059e-07,281623280.8258509,3.550842803434195e-09,36482592474.736946,2.741033276877099e-11,1.0909158545351438,0.8402673584461169,1.190097401676143,0.7702403030930078,1.2982961239295838,0.706049233670015,1.4163318254763069,0.6472077848486981,1.5450988436948054,0.10693562721583239,87.4490624773676,0.011435228368043473,817.7729420417173,0.0012228333178930084,7647.338528170541,0.0001307644478293062,71513.47710090685,1.398337824615885e-05,5.272815114715363,0.03596788598584921,27.802579233970782,0.0068213819759145545,146.59786001295262,0.001293688822291048,772.9834120612234,0.0002453506891756215,4075.798618540672,9.708101892398707,0.010610390023428583,94.24724235319538,0.0010929417656541443,914.9618318424157,0.0001125803764492728,8882.542691181943,1.1596538406485152e-05,86232.62950957574,0.7449328537091758,4.86402021305454,-0.0870175769609584,2.235528240368338,-1.6625643972966742,-2.2729607835240166
11,2.3663,65.1794680411088,0.2628248152538857,4.255659737827353,0.3020105515347004,7.791819686793859,0.03630437730034204,9.003335540117025,0.5560359957744343,7.835156712159167,0.3036902925269917,247.9958674303498,15.315949125759984,215.81851266418357,8.36511503873475,0.06175888850269452,0.870250439656204,0.03373086465275117,14.091096209062039,0.5461702027114608,0.038759951291810535,0.4226006846131091,5.59937569,0.1785913386354685,13.249802695246997,0.07547282197332059,31.35300811776297,0.03189486623560859,74.1906231090625,0.013478792306811727,0.015342254701577162,4248.3630541219245,0.00023538477932806657,276906.0439131674,3.6113332373257323e-06,18048588.639628164,5.540599433932259e-08,1176397406.4237633,8.500528771480297e-10,3.804815763054991,0.06907688351323914,14.47662299079173,0.018155119147681257,55.08088335116866,0.004771615835901609,209.57261321751972,0.0012540990505333558,797.3851822746458,0.23498119248380775,18.110639804164773,0.05521616082111231,77.07272064087746,0.012974759314122676,327.9952741161974,0.003048824415822938,1395.8362822539473,0.0007164163969038225,3.3111425906094607,0.09121037323829394,10.963665255347932,0.02754649512738303,36.302258976167685,0.008319332186268886,120.20195583132343,0.0025125261019754513,398.00581542765224,0.12833972553226206,60.71245403150836,0.016471085149696356,473.060494556274,0.002113894547330548,3686.0020745280153,0.00027129664600854784,28720.663529870395,3.481813708656029e-05,0.8613275537988685,4.17714451199392,-1.3362675704449234,1.448249800024505,-1.1972933233609913,2.053074425260605
12,2.6649,86.22337145923747,0.4778416185033198,2.4319359181248643,0.5874415393547038,11.66808504908104,0.030906933409114542,5.576952481340814,1.0957936761979985,4.536451410854184,0.22839223306911732,180.44341078808404,35.45462313238899,146.77779095082826,7.3896762919146095,0.19648610596275823,0.8134283779594852,0.04095287414287008,4.139877341320315,0.20842631056382296,0.05034601109639407,0.37524860219895684,7.101692009999999,0.14081151345227094,18.925299037448998,0.05283932359648428,50.43402940489783,0.019827882320719085,134.4016449611122,0.007440385125415244,0.011597783560026472,7434.469785797647,0.0001345085835052203,641025.0499433081,1.5600014384592918e-06,55271340.99593811,1.8092559036580822e-08,4765681365.742951,2.0983358375326543e-10,2.092743623153144,0.22833261237387223,4.379575872248149,0.10910682505382224,9.165329478762684,0.052135781873476984,19.18068482077814,0.024912646392358285,40.14025584639376,0.41119504529175527,5.914312309865827,0.16908136527248865,14.383228537370737,0.0695254196512128,34.97909009863045,0.028588508082408735,85.0669055941852,0.01175545287576977,1.7022970508665183,0.345087562159424,2.8978152493888456,0.20271876872709405,4.932942352990656,0.11908542555713432,8.397333219590537,0.06995572570399297,14.294755574852418,0.08570386621228464,136.14420871258847,0.007345152683733184,1588.5422061983222,0.0006295079829154723,18535.245565976853,5.3951267947352795e-05,216270.82166942014,4.623832250143044e-06,0.9801665334616279,4.456941271537988,-0.7384759434398487,0.8886876143015309,-0.5319785453963761,2.456857341067103
13,2.8934,108.8610912327804,0.3731866009950449,8.651619341807656,0.3484728362929976,4.296838617065287,0.026578825981203612,7.753225845422082,0.3344345012982804,8.303086205454523,0.6733787926101292,291.7068590954739,12.582741673194688,312.3947691040385,25.33515938914453,0.043134884494013336,1.070920204182767,0.08685143526519712,24.82724172662151,2.0134848228758138,0.08109981950660326,0.3456141563558443,8.371763560000002,0.119449145073562,24.222860684504006,0.041283315502025984,70.08642510454389,0.014268098258804861,202.78806239748732,0.004931256742519133,0.009186018518422483,11850.737184391737,8.438293622080077e-05,1290084.181805772,7.75143214763139e-07,140439971.813525,7.12047992524373e-09,15288448584.32125,6.540886045334444e-11,2.6796246096018805,0.13926823916223485,7.180388048384031,0.05197304079951943,19.240744520941067,0.019395642439349447,51.55797252537623,0.007238193876056061,138.15601200017576,0.11558529802249269,74.85051723554034,0.013359961118948454,647.5781826593081,0.0015442150875025719,5602.599930427921,0.0001784885610998144,48471.561922500434,2.0630653528327945e-05,2.8696641340480133,0.1214333176340863,8.234972242241534,0.042316212616418526,23.63160448844148,0.014746050631620893,67.81476783048856,0.005138598087721081,194.60560700194603,0.23272924331586683,18.46282210110353,0.05416290069437595,79.3317669840281,0.012605290894394555,340.8757999369969,0.002933619811628831,1464.6883007923093,0.0006827391189368138,1.0624322812133529,4.690072677140824,-0.985676713667826,2.157746510568111,-1.054194996459292,1.457879546969882
