,$(ΣI)_{n}$,$(ΣS)_{n}$,"$I_{1619, n}$","$S_{1619, n}$","$I_{1720, n}$","$S_{1720, n}$",$(\frac{ΣI}{ΣS})_{n}$,$(\frac{ΣI}{I_{1619}})_{n}$,$(\frac{ΣI}{S_{1619}})_{n}$,$(\frac{ΣI}{I_{1720}})_{n}$,$(\frac{ΣI}{S_{1720}})_{n}$,$(\frac{ΣS}{I_{1619}})_{n}$,$(\frac{ΣS}{S_{1619}})_{n}$,$(\frac{ΣS}{I_{1720}})_{n}$,$(\frac{ΣS}{S_{1720}})_{n}$,$(\frac{I_{1619}}{S_{1619}})_{n}$,$(\frac{I_{1619}}{I_{1720}})_{n}$,$(\frac{I_{1619}}{S_{1720}})_{n}$,$(\frac{S_{1619}}{I_{1720}})_{n}$,$(\frac{S_{1619}}{S_{1720}})_{n}$,$(\frac{I_{1720}}{S_{1720}})_{n}$,$(ΣI^{-1})_{n}$,$(ΣI^2)_{n}$,$(ΣI^{-2})_{n}$,$(ΣI^3)_{n}$,$(ΣI^{-3})_{n}$,$(ΣI^4)_{n}$,$(ΣI^{-4})_{n}$,$(ΣI^5)_{n}$,$(ΣI^{-5})_{n}$,$(ΣS^{-1})_{n}$,$(ΣS^2)_{n}$,$(ΣS^{-2})_{n}$,$(ΣS^3)_{n}$,$(ΣS^{-3})_{n}$,$(ΣS^4)_{n}$,$(ΣS^{-4})_{n}$,$(ΣS^5)_{n}$,$(ΣS^{-5})_{n}$,$(I_{1619}^{-1})_{n}$,$(I_{1619}^2)_{n}$,$(I_{1619}^{-2})_{n}$,$(I_{1619}^3)_{n}$,$(I_{1619}^{-3})_{n}$,$(I_{1619}^4)_{n}$,$(I_{1619}^{-4})_{n}$,$(I_{1619}^5)_{n}$,$(I_{1619}^{-5})_{n}$,$(S_{1619}^{-1})_{n}$,$(S_{1619}^2)_{n}$,$(S_{1619}^{-2})_{n}$,$(S_{1619}^3)_{n}$,$(S_{1619}^{-3})_{n}$,$(S_{1619}^4)_{n}$,$(S_{1619}^{-4})_{n}$,$(S_{1619}^5)_{n}$,$(S_{1619}^{-5})_{n}$,$(I_{1720}^{-1})_{n}$,$(I_{1720}^2)_{n}$,$(I_{1720}^{-2})_{n}$,$(I_{1720}^3)_{n}$,$(I_{1720}^{-3})_{n}$,$(I_{1720}^4)_{n}$,$(I_{1720}^{-4})_{n}$,$(I_{1720}^5)_{n}$,$(I_{1720}^{-5})_{n}$,$(S_{1720}^{-1})_{n}$,$(S_{1720}^2)_{n}$,$(S_{1720}^{-2})_{n}$,$(S_{1720}^3)_{n}$,$(S_{1720}^{-3})_{n}$,$(S_{1720}^4)_{n}$,$(S_{1720}^{-4})_{n}$,$(S_{1720}^5)_{n}$,$(S_{1720}^{-5})_{n}$,$(ln|ΣI|)_{n}$,$(ln|ΣS|)_{n}$,$(ln|I_{1619}|)_{n}$,$(ln|S_{1619}|)_{n}$,$(ln|I_{1720}|)_{n}$,$(ln|S_{1720}|)_{n}$
1,0.47022925944252003,0.6546157468090483,0.5036273928957673,0.04181010862559484,1.0,1.0,0.20768247354604735,0.3589905112587961,0.6845160741833343,0.0,0.0,0.5831430819273844,0.9106996283148678,0.06574130699824388,0.0,0.8190642953724443,0.02463248067642415,0.0,0.016069319167099673,0.0,0.0,0.3225220861264998,0.36910942672874003,0.23382827293745617,0.2800634276929106,0.16244588390665343,0.2068022149323956,0.1089600917386603,0.14963541045641812,0.07111523123139299,0.14489982587889472,0.5384464288135101,0.0812367941039311,0.4297593817672139,0.04210698444229388,0.3364006461187947,0.020557356900098574,0.2604069555597533,0.009612126325414107,0.18647742236334813,0.34797990309846744,0.09202331709371417,0.22753967592198393,0.040957320334380466,0.1443754207259628,0.017043432138526368,0.09030922384774477,0.006807474856479362,0.6262542166824961,0.007207182643894172,0.42408878027098984,0.0010095005978171926,0.2789064723077525,0.0001280368574713126,0.1824486707242054,1.5430269826179974e-05,0.11925832070404778,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9999999999999999,0.0,0.5761038287399461,0.7647704664255404,0.6712243154850828,0.16258942248879849,1.0,1.0
2,0.8927511133102423,0.3762693315012999,0.5705305474710447,0.31272713919641193,0.6625352643006841,0.028330570663071743,0.7140465115538805,0.5328746702266466,0.22284167454002785,0.3033211141622297,0.19430518735518246,0.32621255601398164,0.16081347870357698,0.07863994636412097,0.07150678270366065,0.15300949272102776,0.1197533165417245,0.07534374676274812,0.22962469944564784,0.1355390027136601,0.26031039086825364,0.04831072623186772,0.8538858228184949,0.029647897712833188,0.8112361392851919,0.01725326017993939,0.7669255683600165,0.009596165460523179,0.7226642425265841,0.005143511733401536,0.3474262665687001,0.2556829179163472,0.23093464332265412,0.1639979799796686,0.14447875126100948,0.1009634819694359,0.08654451253811776,0.06051991205705142,0.050375031878833604,0.14898681889431353,0.41797213817322976,0.07004464079878014,0.2924186741494966,0.02954085555060329,0.19966733169886325,0.011591317973228899,0.13484074821169303,0.004346842456520433,0.13843770190063087,0.12708579273149131,0.03541782886262708,0.04745067682965861,0.007785079152212225,0.01733055217857186,0.001617738047913659,0.006298705418764467,0.0003295200072043054,0.0869245308769678,0.5093685052505678,0.032552424526373344,0.37797715243666496,0.010630365901975622,0.27632716243399325,0.0031856503519905746,0.20096385993788182,0.0009060167286808948,0.10287333689587824,0.0009860806953642968,0.011197991034791605,3.1454949593373336e-05,0.0011866952480383496,9.943783584049868e-07,0.00012564254372979963,3.140523259538506e-08,1.33021373175123e-05,0.9257852579090374,0.5152085342148376,0.7258510883395055,0.6125680529355807,0.808757839189225,0.39389697747908364
3,0.4486640277090549,0.3275028618993932,0.19286969200038306,0.20035360474633107,0.4278483086740044,0.14910938603468324,0.45200252622601783,0.7778672856895965,0.22912282069447465,0.29409649091275186,0.025395301130160846,0.7137626789511771,0.2337881390227552,0.17691392047470655,0.011491065575143343,0.08499097893375884,0.053522107024799453,0.006892778537180564,0.22067881908206582,0.018950253427401628,0.029840736107252554,0.34178285246078677,0.34825418078210113,0.2504644748352736,0.2609443252145167,0.17606741106903218,0.1900553625407852,0.11961650183634721,0.13550356880646922,0.07914671763794755,0.3974062800677106,0.2143389379132264,0.274361899162249,0.1317724026608013,0.17917047381089857,0.07743325451900897,0.11250580656549526,0.044152662908026254,0.06888266819273814,0.49322957775964066,0.09594540539702448,0.3376024356704159,0.043088437358538366,0.21836758574688064,0.01810751984706845,0.13692594945115139,0.007309324435940346,0.08459432439850557,0.22589425512574274,0.06197304357095251,0.07485653559467821,0.016953439519585996,0.02216132359161431,0.004458874984505655,0.0063399818513404016,0.0011593197911989271,0.0017969344452916749,0.19996229210126745,0.2601502123158662,0.09036856664599278,0.14737919831882867,0.03639709185155512,0.08067139438519162,0.013715715070114133,0.04352366614739867,0.004987223481057109,0.01872176390122357,0.02307917004923332,0.0004729393300375219,0.0035085998150684067,1.0614331525401097e-05,0.0005331521433780918,2.3423970765572662e-07,8.10147459194871e-05,5.156202552051591e-09,0.5550876441159444,0.46314985737291314,0.33767038737369015,0.48327004025855647,0.6268167025395274,0.6694876376387722
6,0.21074550552531757,0.07270534530187128,0.6924637909123588,0.13432932003436587,0.02102123072313583,0.016780569168286935,0.6029306836729051,0.10335276731180476,0.24447231532827557,1.0,0.17699371741007824,0.07028978198339197,0.20168426179288623,0.5316557776183497,0.07234468162229324,0.5177290119379465,0.9999999999999999,0.1369066403349186,0.48725373439928993,0.11593333448755284,0.10855782200010114,0.6127788745053019,0.1432283542305011,0.5164621837747947,0.09276120345583229,0.4246017468806385,0.057697515807484945,0.34240273084167183,0.03474872773544809,0.2723165192854561,0.803777194283669,0.038064653541389756,0.7227393985808749,0.018347836376323173,0.6393098536658309,0.008296428660373011,0.5598266524921576,0.003578680980558522,0.4875651186790401,0.0936198142297553,0.5598714933052106,0.04078707251947114,0.43886413817750647,0.01583006070213854,0.3387453743387401,0.005678776763347026,0.25977184236294065,0.001935188137485405,0.32027307913080305,0.033890068497626324,0.13223974413585565,0.007330088845729742,0.050269902004823536,0.0014967310691815815,0.018707700061286966,0.00029933793800615506,0.006929607139248579,0.8969523792613763,0.0069231971794632835,0.8336333158797639,0.0019729262626565075,0.7675923904943414,0.0005120610177996596,0.7043070060098697,0.00012521679441056526,0.6455444906952716,0.16380816153011385,0.0003915446306693431,0.027745981214545003,8.044319218120791e-06,0.004624361285637049,1.6205719729274756e-07,0.0007704425559775318,3.254228658978498e-09,0.00012835873126935705,0.29379621958027247,0.1258594252209413,0.8154316133347878,0.3801354060679887,0.05217564096739191,0.3143672619423181
8,0.19722084776513282,0.1473222115619109,0.06503830074370331,0.09567462393517857,0.3368936234210546,0.23503733522108675,0.4657033839633677,0.8454013730093819,0.31609101999500355,0.2381047364276419,0.010473096402143134,0.7567092748413808,0.3056105088810794,0.1315447491734798,0.0041168432847526705,0.13475746487335594,0.02273565407120931,0.00208319483465689,0.14761322419827091,0.006776751622467483,0.011128614014513975,0.6323533783716019,0.13295390629391515,0.5379844229840973,0.08536212887144441,0.44703389389373877,0.052606487400154306,0.36474171586048404,0.031374074022990875,0.29374797199731717,0.6502127487797557,0.08277824697640242,0.5333538160814518,0.04300853230918679,0.42434555455992556,0.02105116539063646,0.33101076293001896,0.009869715050238691,0.2552965796238846,0.7697633691014492,0.027177658486250325,0.6594173594968572,0.010088666853828483,0.5524418315922656,0.0034520279633232435,0.45788022741600526,0.0011190822560339692,0.3778599099993265,0.4086639799926146,0.020943515395719984,0.19993601580767822,0.003845981661074393,0.09192876360541613,0.000656692854522144,0.041675544128724394,0.00010878034862590825,0.018843473791527003,0.2689419546608053,0.1838542699830221,0.13425127482031202,0.0919351760902615,0.06058190294791969,0.043931982688952605,0.025869629055580826,0.02055944049423743,0.01074867294237058,0.010764378926314478,0.05644078765840869,0.0001868386133223001,0.013412512224890384,2.749044801239147e-06,0.003186753092806676,3.908487732819533e-08,0.000757156301134551,5.51333951153598e-10,0.27701781341253806,0.23867377160964587,0.1332980834047227,0.3036616144574992,0.5380744214297724,0.7478959029131481
9,0.13264885370278745,0.0,0.0,0.040852125649969734,0.29052815429549544,0.23036634073104964,0.6629062807060346,1.0,0.46684588234496166,0.24600533812084496,0.009703228096282957,0.6816343840299279,0.34710680705240116,0.0628547123704814,0.0025066994440633853,0.19792691119423206,0.0029716415653479877,0.0013867671092308211,0.09877887740620511,0.004341186801839014,0.009670796134388818,0.7342530429944968,0.08594667049992641,0.6550480097984118,0.05290934231338036,0.5745713243545338,0.031190983248194998,0.49755530974203593,0.017753993468684018,0.42704561142913466,0.9999999999999999,0.0,0.9999999999999999,0.0,1.0,0.0,1.0000000000000002,0.0,1.0,1.0,0.0,0.9999999999999999,0.0,1.0,0.0,1.0,0.0,1.0,0.6318959532345952,0.007008243765979857,0.4309884719823293,0.0009764154466709914,0.2856641606131898,0.0001231232883762957,0.18835907396527624,1.4745916393369086e-05,0.12410624138554281,0.31338416025416826,0.14932301031159168,0.16597720125906645,0.06968300886921341,0.08017825135717913,0.030872514066913593,0.03689337737538314,0.01333847346046247,0.016591191375369352,0.011046551577382373,0.05425024780346521,0.00019483257912661218,0.012639452320458594,2.9194684420978232e-06,0.002944236416788614,4.23145898031294e-08,0.0006858290437751527,6.08716963430892e-10,0.1933881159383608,0.0,0.0,0.15954282070232945,0.48718569047712623,0.7444247483433823
10,0.136730991258453,0.7355268396540995,0.8914047172679228,0.22443967832743217,0.12140513520165758,0.0,0.0,0.0,0.12074765437170905,0.5379282040233528,1.0,0.35009798538234665,0.3505839036177221,1.0000000000000002,1.0000000000000002,0.40835623693297,0.8328482348874354,1.0,0.49582095684556154,0.9999999999999998,1.0,0.7273624411592005,0.0888181597218318,0.6468662593038236,0.05482406854395415,0.5653622655061298,0.03241083943399688,0.4876518551511348,0.018502678933989686,0.4167856198525056,0.10352730949798272,0.6355768880422058,0.05584091909079565,0.5369723754154136,0.027773260659861583,0.4472730456449806,0.012977885394242446,0.36964414885930486,0.005793651951496651,0.02755246112500559,0.831133375616493,0.010870329232489387,0.7673131434700581,0.0038003199925983177,0.7051866925252738,0.001221644474078987,0.6469675668590383,0.00037116053805687406,0.20169267697018056,0.0740925412279847,0.0626205213192442,0.021839962145615854,0.017204163463096223,0.0062192709744099016,0.004545574323775192,0.0017544121200316783,0.0011874358040817505,0.5749375238673868,0.04833282387210607,0.4075201407932459,0.01688102013731457,0.2754876037905327,0.0054411769281832775,0.18237212105327008,0.0016730390703777825,0.11979336602400498,1.0,0.0,1.0,0.0,1.0,0.0,1.0000000000000002,0.0,1.0000000000000002,0.19885724224839862,0.8257762025930022,0.9403398187893252,0.5149010113141618,0.25284476024797087,0.0
11,0.2439386442355269,0.1350040536094717,0.03942053968625314,0.05915411643033437,0.329513989606864,0.25039976208233844,0.5297832542170642,0.9984170269076096,0.45484993268057644,0.2759334716052179,0.010272028682745672,0.8110994903461302,0.3945688050187977,0.12873922136733928,0.0035430022036871045,0.19044704349922525,0.011772307844196694,0.0015358993392890138,0.10923608616020153,0.004692020612422179,0.009456794003702734,0.5670380290221911,0.16907406785045306,0.46738266880682566,0.11184001056307395,0.3746766612362446,0.0711548452512464,0.2938758527100149,0.0438940262280601,0.22687244923879232,0.6729669274998072,0.07500238343055134,0.559886392472355,0.03849686496773139,0.45278252058294466,0.018599559075568792,0.35955459754475944,0.008600962520009948,0.28258346098135184,0.8500121092136093,0.01584395830163636,0.7706329889853852,0.005646325264679963,0.6889954167334061,0.0018513124106958423,0.6120156202084458,0.0005740479547250348,0.5422626669871901,0.5376550379098515,0.011083089061350047,0.32294626380090374,0.0017041992341380204,0.18630089259749585,0.00023939319512142947,0.10661957382379962,3.2194888206109936e-05,0.060941363937976264,0.27552248984965655,0.17816110403331156,0.13877823475155643,0.08813714960564835,0.06327490819626297,0.04162577245961115,0.02732778679987748,0.019240878381052807,0.011492090152921531,0.009909608475431934,0.06395096184035033,0.0001635882708805457,0.016176188942335773,2.2729907602166986e-06,0.004091063786526132,3.0417726490960916e-08,0.0010346544500640807,4.033521016800067e-10,0.3339753503305415,0.2210177141287648,0.08384066549611702,0.2139222189661144,0.5302598853055656,0.758850666120152
12,0.36706251030842807,0.3313443789073585,0.31959915814430906,0.0,0.8581851221544172,0.3766371841842618,0.387130671948061,0.4882479049477536,1.0,0.01171753008269899,0.006572524989574521,0.519166203042644,0.9999999999999999,0.0,0.002764955861292928,0.9999999999999998,0.0,0.0023492853749278145,0.0,0.000966785041163893,0.01582412962956371,0.42150705953530443,0.27275645579039554,0.322528383282102,0.19470221705553686,0.23784202885945455,0.13450059343527593,0.17023266744338328,0.09059993252299456,0.119117383283775,0.3932493020990925,0.21750708438926886,0.2706520591794121,0.1341738861138048,0.1761274560580928,0.07913802314409754,0.11016823296504749,0.045305187227366185,0.06717255479040098,0.33116089982838376,0.18420639871966565,0.19325410065362947,0.09775676425042881,0.10402704686709023,0.04935445934804497,0.05334767074524132,0.02424870452015701,0.026650796617291795,1.0,0.0,0.9999999999999999,0.0,1.0,0.0,1.0000000000000002,0.0,1.0000000000000002,0.029960329962157944,0.774811263161205,0.010050698807157324,0.6904063925120003,0.0029192169721464897,0.6121110760221653,0.0007726922673163188,0.5418432701134278,0.0001928137736951072,0.005503094627613632,0.14342026583136852,6.675748569578033e-05,0.054319903807019856,6.50642626959639e-07,0.020572119122990486,5.948902006264629e-09,0.007791100226668122,5.3202685987227434e-11,0.4719309280851186,0.46736427307353745,0.4936929969319609,0.0,0.9269498853317297,0.8296801716233637
13,0.46128154379020303,0.5425550643028665,0.18322796400021008,0.20174100564435948,0.41557075902604773,0.1365795358331144,0.2727402839474303,0.8122827405900104,0.23103455401480189,0.3134131554036698,0.028435364912487583,1.0,0.312400085589036,0.30882355055873484,0.01707894280492494,0.07853856805268566,0.05334676277400746,0.007518656686872757,0.22708843493993758,0.020876155231425733,0.03272545960921391,0.33042912982495565,0.3604104667370278,0.24062142385048252,0.2720465796693821,0.16797823259512124,0.19974320757365222,0.11326487701138445,0.1436475225884483,0.07434211618659187,0.2130868265558713,0.41503306766333997,0.12693075748949634,0.3047226442281135,0.07027670941656561,0.21765486486395066,0.03683574831825613,0.15291161149232171,0.01857879817702407,0.5090178384977895,0.09004906236829435,0.3534127888025107,0.03989509034173118,0.23238875909488638,0.016518250365608205,0.14835250148268556,0.006562217380443488,0.09339021683968642,0.22438744050591808,0.0626439474587629,0.07406517209261951,0.01721325727273363,0.02182847832534413,0.0045487267082530165,0.006214968087969277,0.0011884606289204998,0.0017529001244464006,0.2081385175173283,0.24918963818280934,0.09522945468914841,0.13891771200440453,0.03889611413277864,0.07472568879350307,0.014885128373416004,0.03958972761582428,0.00550249169965833,0.020698504560024162,0.01943988215538954,0.0005635176049889227,0.0027126994365841025,1.3739476436490827e-05,0.0003783351703684426,3.301430707435634e-07,5.276501552301983e-05,7.91699265207718e-09,0.5674300546571215,0.6726244041980056,0.3242095056387435,0.4851648342485353,0.6155814160793764,0.6544446666162527
