wavenumber,absorbance
3998.26399,-2e-05
3997.29962,-2e-05
3996.33525,-2e-05
3995.37089,4e-05
3994.40652,0.00019
3993.44215,0.00035
3992.47779,0.00034
3991.51342,0.00026
3990.54905,0.00029
3989.58469,0.00047
3988.62032,0.00065
3987.65595,0.00073
3986.69159,0.00074
3985.72722,0.00075
3984.76285,0.00076
3983.79849,0.00073
3982.83412,0.00073
3981.86975,0.00087
3980.90539,0.00109
3979.94102,0.00115
3978.97665,0.00101
3978.01229,0.00091
3977.04792,0.00093
3976.08355,0.00092
3975.11919,0.00082
3974.15482,0.00076
3973.19045,0.00089
3972.22609,0.00114
3971.26172,0.00139
3970.29735,0.00153
3969.33299,0.00151
3968.36862,0.00139
3967.40425,0.00137
3966.43989,0.00148
3965.47552,0.00166
3964.51115,0.00186
3963.54679,0.00192
3962.58242,0.00174
3961.61805,0.00147
3960.65369,0.00148
3959.68932,0.00174
3958.72495,0.00194
3957.76059,0.00194
3956.79622,0.0019
3955.83185,0.00197
3954.86749,0.00207
3953.90312,0.00207
3952.93875,0.00209
3951.97439,0.00222
3951.01002,0.00223
3950.04565,0.00198
3949.08129,0.00176
3948.11692,0.00178
3947.15255,0.00194
3946.18819,0.00221
3945.22382,0.00258
3944.25945,0.00281
3943.29509,0.00261
3942.33072,0.00226
3941.36635,0.0023
3940.40199,0.00271
3939.43762,0.00303
3938.47325,0.00309
3937.50889,0.00311
3936.54452,0.00316
3935.58016,0.00316
3934.61579,0.00305
3933.65142,0.00282
3932.68706,0.00252
3931.72269,0.00235
3930.75832,0.00245
3929.79396,0.00267
3928.82959,0.00288
3927.86522,0.00315
3926.90086,0.00334
3925.93649,0.00314
3924.97212,0.00268
3924.00776,0.00249
3923.04339,0.00286
3922.07902,0.00337
3921.11466,0.00347
3920.15029,0.00323
3919.18592,0.00319
3918.22156,0.00331
3917.25719,0.00312
3916.29282,0.00285
3915.32846,0.00307
3914.36409,0.00367
3913.39972,0.00408
3912.43536,0.00414
3911.47099,0.00408
3910.50662,0.00399
3909.54226,0.00399
3908.57789,0.00405
3907.61352,0.00407
3906.64916,0.00389
3905.68479,0.00339
3904.72042,0.00288
3903.75606,0.00264
3902.79169,0.00273
3901.82732,0.00295
3900.86296,0.00317
3899.89859,0.00313
3898.93422,0.00278
3897.96986,0.0029
3897.00549,0.00376
3896.04112,0.0046
3895.07676,0.00468
3894.11239,0.00443
3893.14802,0.00431
3892.18366,0.004
3891.21929,0.00339
3890.25492,0.00314
3889.29056,0.00381
3888.32619,0.00494
3887.36182,0.00523
3886.39746,0.00423
3885.43309,0.00287
3884.46872,0.00269
3883.50436,0.00362
3882.53999,0.00454
3881.57562,0.00451
3880.61126,0.00372
3879.64689,0.00322
3878.68252,0.0037
3877.71816,0.00469
3876.75379,0.00535
3875.78942,0.00526
3874.82506,0.00448
3873.86069,0.00361
3872.89633,0.00378
3871.93196,0.00462
3870.96759,0.00458
3870.00323,0.00327
3869.03886,0.00244
3868.07449,0.00327
3867.11013,0.00461
3866.14576,0.00475
3865.18139,0.0037
3864.21703,0.00312
3863.25266,0.00359
3862.28829,0.00421
3861.32393,0.00431
3860.35956,0.00448
3859.39519,0.00506
3858.43083,0.00532
3857.46646,0.00502
3856.50209,0.00522
3855.53773,0.00546
3854.57336,0.00423
3853.60899,0.0016
3852.64463,0.00041
3851.68026,0.00133
3850.71589,0.00311
3849.75153,0.00429
3848.78716,0.00496
3847.82279,0.00523
3846.85843,0.00537
3845.89406,0.0055
3844.92969,0.00534
3843.96533,0.00491
