wavenumber,absorbance
3998.26399,2e-05
3997.29962,2e-05
3996.33525,2e-05
3995.37089,-0.0
3994.40652,1e-05
3993.44215,0.00019
3992.47779,0.00048
3991.51342,0.00056
3990.54905,0.00032
3989.58469,0.00016
3988.62032,0.00037
3987.65595,0.00068
3986.69159,0.00079
3985.72722,0.00081
3984.76285,0.00085
3983.79849,0.00083
3982.83412,0.00073
3981.86975,0.00067
3980.90539,0.00072
3979.94102,0.00083
3978.97665,0.00094
3978.01229,0.00102
3977.04792,0.00107
3976.08355,0.00111
3975.11919,0.00115
3974.15482,0.00117
3973.19045,0.00117
3972.22609,0.00123
3971.26172,0.00136
3970.29735,0.00146
3969.33299,0.00143
3968.36862,0.00129
3967.40425,0.00123
3966.43989,0.00132
3965.47552,0.00148
3964.51115,0.00164
3963.54679,0.00174
3962.58242,0.00169
3961.61805,0.00152
3960.65369,0.00145
3959.68932,0.00158
3958.72495,0.00178
3957.76059,0.00193
3956.79622,0.00194
3955.83185,0.00183
3954.86749,0.00171
3953.90312,0.00164
3952.93875,0.00164
3951.97439,0.00174
3951.01002,0.0019
3950.04565,0.00198
3949.08129,0.00197
3948.11692,0.00193
3947.15255,0.00187
3946.18819,0.00189
3945.22382,0.00209
3944.25945,0.00232
3943.29509,0.00224
3942.33072,0.00191
3941.36635,0.00177
3940.40199,0.002
3939.43762,0.00229
3938.47325,0.00234
3937.50889,0.0022
3936.54452,0.00207
3935.58016,0.00212
3934.61579,0.00242
3933.65142,0.0027
3932.68706,0.00265
3931.72269,0.00237
3930.75832,0.00224
3929.79396,0.00226
3928.82959,0.00222
3927.86522,0.00234
3926.90086,0.00281
3925.93649,0.0032
3924.97212,0.003
3924.00776,0.00247
3923.04339,0.00238
3922.07902,0.00281
3921.11466,0.00313
3920.15029,0.00306
3919.18592,0.00308
3918.22156,0.00327
3917.25719,0.00312
3916.29282,0.00262
3915.32846,0.00239
3914.36409,0.00263
3913.39972,0.00296
3912.43536,0.00308
3911.47099,0.00306
3910.50662,0.00296
3909.54226,0.0029
3908.57789,0.0029
3907.61352,0.00302
3906.64916,0.00328
3905.68479,0.00348
3904.72042,0.0035
3903.75606,0.00329
3902.79169,0.00298
3901.82732,0.00271
3900.86296,0.00268
3899.89859,0.00275
3898.93422,0.00256
3897.96986,0.00246
3897.00549,0.00279
3896.04112,0.00321
3895.07676,0.00329
3894.11239,0.0034
3893.14802,0.00375
3892.18366,0.00373
3891.21929,0.00303
3890.25492,0.0024
3889.29056,0.00259
3888.32619,0.00356
3887.36182,0.00431
3886.39746,0.00405
3885.43309,0.00293
3884.46872,0.0023
3883.50436,0.00273
3882.53999,0.0037
3881.57562,0.00417
3880.61126,0.00375
3879.64689,0.00292
3878.68252,0.00262
3877.71816,0.00297
3876.75379,0.00363
3875.78942,0.00419
3874.82506,0.00418
3873.86069,0.00346
3872.89633,0.00314
3871.93196,0.00385
3870.96759,0.00437
3870.00323,0.00355
3869.03886,0.00233
3868.07449,0.00241
3867.11013,0.00372
3866.14576,0.00461
3865.18139,0.00414
3864.21703,0.0033
3863.25266,0.00321
3862.28829,0.00348
3861.32393,0.0034
3860.35956,0.00342
3859.39519,0.00393
3858.43083,0.00424
3857.46646,0.00409
3856.50209,0.00454
3855.53773,0.00526
3854.57336,0.00487
3853.60899,0.00309
3852.64463,0.00207
3851.68026,0.00227
3850.71589,0.00303
3849.75153,0.00346
3848.78716,0.00372
3847.82279,0.00388
3846.85843,0.00419
3845.89406,0.00458
3844.92969,0.00459
3843.96533,0.00411
